"Notes"	"Year"	"Year Code"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	% of Total Deaths
	"2013"	"2013"	"Franklin County, NY"	"36033"	408	51688	789.351	712.757	865.946	697.027	628.609	765.444	0.044%
	"2013"	"2013"	"Fulton County, NY"	"36035"	598	54586	1095.519	1007.713	1183.325	796.018	730.565	861.471	0.065%
	"2013"	"2013"	"Genesee County, NY"	"36037"	613	59454	1031.049	949.428	1112.671	744.003	683.661	804.346	0.067%
	"2013"	"2013"	"Greene County, NY"	"36039"	478	48455	986.482	898.046	1074.919	699.757	635.203	764.311	0.052%
	"2013"	"2013"	"Hamilton County, NY"	"36041"	69	4773	1445.632	1124.788	1829.534	816.953	618.752	1058.461	0.007%
	"2013"	"2013"	"Herkimer County, NY"	"36043"	678	64181	1056.387	976.870	1135.905	734.595	677.143	792.047	0.074%
	"2013"	"2013"	"Jefferson County, NY"	"36045"	894	119504	748.092	699.053	797.131	780.014	728.287	831.741	0.097%
	"2013"	"2013"	"Kings County, NY"	"36047"	15959	2592149	615.667	606.115	625.219	615.071	605.417	624.724	1.732%
	"2013"	"2013"	"Lewis County, NY"	"36049"	229	27149	843.493	734.244	952.743	665.035	577.509	752.560	0.025%
	"2013"	"2013"	"Livingston County, NY"	"36051"	544	64705	840.739	770.088	911.390	689.479	630.563	748.396	0.059%
	"2013"	"2013"	"Madison County, NY"	"36053"	584	72382	806.830	741.392	872.269	680.463	624.264	736.662	0.063%
	"2013"	"2013"	"Monroe County, NY"	"36055"	6305	749606	841.109	820.347	861.870	670.085	653.098	687.071	0.684%
	"2013"	"2013"	"Montgomery County, NY"	"36057"	597	49897	1196.465	1100.487	1292.442	832.145	762.219	902.072	0.065%
	"2013"	"2013"	"Nassau County, NY"	"36059"	10785	1352146	797.621	782.567	812.675	577.586	566.349	588.824	1.171%
	"2013"	"2013"	"New York County, NY"	"36061"	10076	1626159	619.620	607.521	631.718	538.109	527.455	548.763	1.094%
	"2013"	"2013"	"Niagara County, NY"	"36063"	2427	214249	1132.794	1087.726	1177.862	828.368	794.421	862.315	0.263%
	"2013"	"2013"	"Oneida County, NY"	"36065"	2466	233585	1055.718	1014.050	1097.387	740.594	710.335	770.853	0.268%
	"2013"	"2013"	"Onondaga County, NY"	"36067"	4110	468387	877.480	850.653	904.307	695.090	673.286	716.894	0.446%
	"2013"	"2013"	"Ontario County, NY"	"36069"	1009	109103	924.814	867.750	981.879	677.191	634.208	720.173	0.110%
	"2013"	"2013"	"Orange County, NY"	"36071"	2647	375592	704.754	677.906	731.602	710.618	683.124	738.113	0.287%
	"2013"	"2013"	"Orleans County, NY"	"36073"	442	42235	1046.525	948.960	1144.091	826.843	748.558	905.127	0.048%
	"2013"	"2013"	"Oswego County, NY"	"36075"	1085	121165	895.473	842.189	948.757	815.233	765.731	864.734	0.118%
	"2013"	"2013"	"Otsego County, NY"	"36077"	591	61683	958.125	880.877	1035.372	694.899	636.697	753.102	0.064%
	"2013"	"2013"	"Putnam County, NY"	"36079"	681	99645	683.426	632.096	734.756	618.320	570.824	665.817	0.074%
	"2013"	"2013"	"Queens County, NY"	"36081"	14179	2296175	617.505	607.341	627.669	551.986	542.789	561.184	1.539%
	"2013"	"2013"	"Rensselaer County, NY"	"36083"	1486	159918	929.226	881.980	976.473	781.724	741.190	822.258	0.161%
	"2013"	"2013"	"Richmond County, NY"	"36085"	3649	472621	772.077	747.026	797.129	693.827	670.976	716.678	0.396%
	"2013"	"2013"	"Rockland County, NY"	"36087"	2169	320903	675.905	647.460	704.351	576.767	552.204	601.331	0.235%
	"2013"	"2013"	"St. Lawrence County, NY"	"36089"	1020	111963	911.015	855.106	966.924	787.481	738.485	836.476	0.111%
	"2013"	"2013"	"Saratoga County, NY"	"36091"	1723	223865	769.660	733.318	806.003	645.904	614.851	676.956	0.187%
	"2013"	"2013"	"Schenectady County, NY"	"36093"	1570	155333	1010.732	960.735	1060.729	759.587	720.657	798.517	0.170%
	"2013"	"2013"	"Schoharie County, NY"	"36095"	300	31844	942.093	835.485	1048.701	710.578	628.813	792.344	0.033%
	"2013"	"2013"	"Schuyler County, NY"	"36097"	186	18460	1007.584	862.780	1152.388	753.795	642.412	865.178	0.020%
	"2013"	"2013"	"Seneca County, NY"	"36099"	316	35409	892.428	794.031	990.826	668.167	592.889	743.445	0.034%
	"2013"	"2013"	"Steuben County, NY"	"36101"	983	98650	996.452	934.160	1058.745	748.919	701.059	796.778	0.107%
	"2013"	"2013"	"Suffolk County, NY"	"36103"	11728	1499738	782.003	767.850	796.156	655.725	643.682	667.768	1.273%
	"2013"	"2013"	"Sullivan County, NY"	"36105"	740	76665	965.238	895.692	1034.785	813.523	753.526	873.519	0.080%
	"2013"	"2013"	"Tioga County, NY"	"36107"	449	50243	893.657	810.995	976.318	676.179	612.422	739.936	0.049%
	"2013"	"2013"	"Tompkins County, NY"	"36109"	682	103617	658.193	608.794	707.592	673.254	621.057	725.451	0.074%
	"2013"	"2013"	"Ulster County, NY"	"36111"	1681	180998	928.740	884.341	973.138	698.458	664.192	732.724	0.182%
	"2013"	"2013"	"Warren County, NY"	"36113"	681	65337	1042.288	964.005	1120.572	693.417	639.797	747.038	0.074%
	"2013"	"2013"	"Washington County, NY"	"36115"	596	63093	944.637	868.797	1020.477	699.625	642.197	757.054	0.065%
	"2013"	"2013"	"Wayne County, NY"	"36117"	824	92473	891.071	830.229	951.913	732.875	681.951	783.798	0.089%
	"2013"	"2013"	"Westchester County, NY"	"36119"	7184	968802	741.534	724.387	758.682	559.793	546.515	573.071	0.780%
	"2013"	"2013"	"Wyoming County, NY"	"36121"	369	41531	888.493	797.837	979.149	793.441	711.112	875.770	0.040%
	"2013"	"2013"	"Yates County, NY"	"36123"	250	25156	993.799	870.606	1116.991	728.252	635.978	820.526	0.027%
"Total"	"2013"	"2013"			150919	19651127	767.992	764.117	771.866	649.252	645.927	652.577	16.379%
	"2014"	"2014"	"Albany County, NY"	"36001"	2557	308171	829.734	797.573	861.895	660.151	633.714	686.589	0.278%
	"2014"	"2014"	"Allegany County, NY"	"36003"	457	47736	957.349	869.574	1045.123	733.896	665.222	802.570	0.050%
	"2014"	"2014"	"Bronx County, NY"	"36005"	9161	1438159	636.995	623.951	650.039	675.216	661.227	689.205	0.994%
	"2014"	"2014"	"Broome County, NY"	"36007"	2063	197349	1045.356	1000.246	1090.466	726.003	693.298	758.707	0.224%
	"2014"	"2014"	"Cattaraugus County, NY"	"36009"	798	78600	1015.267	944.825	1085.710	774.249	719.463	829.035	0.087%
	"2014"	"2014"	"Cayuga County, NY"	"36011"	749	78823	950.230	882.178	1018.283	691.135	639.955	742.315	0.081%
	"2014"	"2014"	"Chautauqua County, NY"	"36013"	1438	132053	1088.957	1032.672	1145.241	759.746	719.049	800.442	0.156%
	"2014"	"2014"	"Chemung County, NY"	"36015"	971	87770	1106.301	1036.715	1175.886	806.812	754.809	858.815	0.105%
	"2014"	"2014"	"Chenango County, NY"	"36017"	529	49426	1070.287	979.080	1161.494	755.873	689.561	822.186	0.057%
	"2014"	"2014"	"Clinton County, NY"	"36019"	733	81632	897.932	832.927	962.937	772.556	715.931	829.180	0.080%
	"2014"	"2014"	"Columbia County, NY"	"36021"	700	62122	1126.815	1043.339	1210.291	739.943	682.812	797.074	0.076%
	"2014"	"2014"	"Cortland County, NY"	"36023"	420	49024	856.723	774.788	938.659	730.492	659.395	801.589	0.046%
	"2014"	"2014"	"Delaware County, NY"	"36025"	521	46581	1118.482	1022.439	1214.525	725.990	661.200	790.780	0.057%
	"2014"	"2014"	"Dutchess County, NY"	"36027"	2367	296579	798.101	765.949	830.254	649.178	622.564	675.792	0.257%
	"2014"	"2014"	"Erie County, NY"	"36029"	9678	922835	1048.725	1027.831	1069.619	777.525	761.557	793.493	1.050%
	"2014"	"2014"	"Essex County, NY"	"36031"	390	38679	1008.299	908.227	1108.371	646.521	579.980	713.062	0.042%
	"2014"	"2014"	"Franklin County, NY"	"36033"	447	51262	871.991	791.153	952.829	773.463	700.930	845.996	0.049%
	"2014"	"2014"	"Fulton County, NY"	"36035"	581	54105	1073.838	986.519	1161.157	773.940	709.346	838.535	0.063%
	"2014"	"2014"	"Genesee County, NY"	"36037"	614	59162	1037.828	955.737	1119.920	734.802	675.286	794.318	0.067%
	"2014"	"2014"	"Greene County, NY"	"36039"	522	47967	1088.248	994.891	1181.606	752.447	686.119	818.774	0.057%
	"2014"	"2014"	"Hamilton County, NY"	"36041"	67	4715	1420.997	1101.258	1804.609	828.404	622.322	1080.885	0.007%
	"2014"	"2014"	"Herkimer County, NY"	"36043"	701	63744	1099.711	1018.302	1181.121	747.983	690.795	805.170	0.076%
	"2014"	"2014"	"Jefferson County, NY"	"36045"	863	119103	724.583	676.239	772.926	749.353	698.734	799.972	0.094%
	"2014"	"2014"	"Kings County, NY"	"36047"	15640	2621793	596.538	587.189	605.888	593.342	583.926	602.758	1.697%
	"2014"	"2014"	"Lewis County, NY"	"36049"	243	27220	892.726	780.480	1004.972	674.182	588.122	760.241	0.026%
	"2014"	"2014"	"Livingston County, NY"	"36051"	485	64586	750.937	684.104	817.769	606.734	551.101	662.366	0.053%
	"2014"	"2014"	"Madison County, NY"	"36053"	626	72369	865.011	797.249	932.774	707.899	651.191	764.606	0.068%
	"2014"	"2014"	"Monroe County, NY"	"36055"	6561	749857	874.967	853.795	896.139	686.680	669.594	703.766	0.712%
	"2014"	"2014"	"Montgomery County, NY"	"36057"	561	49779	1126.981	1033.722	1220.240	775.455	708.186	842.723	0.061%
	"2014"	"2014"	"Nassau County, NY"	"36059"	10619	1358627	781.598	766.732	796.464	561.325	550.296	572.354	1.152%
	"2014"	"2014"	"New York County, NY"	"36061"	9912	1636268	605.769	593.843	617.694	524.354	513.878	534.830	1.076%
	"2014"	"2014"	"Niagara County, NY"	"36063"	2297	213525	1075.752	1031.759	1119.746	776.757	744.018	809.497	0.249%
	"2014"	"2014"	"Oneida County, NY"	"36065"	2465	232871	1058.526	1016.738	1100.314	751.024	720.176	781.872	0.268%
	"2014"	"2014"	"Onondaga County, NY"	"36067"	4252	468196	908.167	880.869	935.464	712.934	690.908	734.961	0.461%
	"2014"	"2014"	"Ontario County, NY"	"36069"	1024	109707	933.395	876.225	990.566	681.977	639.003	724.952	0.111%
	"2014"	"2014"	"Orange County, NY"	"36071"	2638	376099	701.411	674.645	728.178	697.184	670.147	724.222	0.286%
	"2014"	"2014"	"Orleans County, NY"	"36073"	432	41984	1028.963	931.932	1125.995	838.671	758.001	919.340	0.047%
	"2014"	"2014"	"Oswego County, NY"	"36075"	1077	120913	890.723	837.526	943.921	792.111	743.785	840.437	0.117%
	"2014"	"2014"	"Otsego County, NY"	"36077"	592	61128	968.460	890.445	1046.474	681.023	623.967	738.079	0.064%
	"2014"	"2014"	"Putnam County, NY"	"36079"	647	99487	650.336	600.224	700.448	574.211	528.938	619.484	0.070%
	"2014"	"2014"	"Queens County, NY"	"36081"	14307	2321580	616.261	606.163	626.360	548.190	539.090	557.290	1.553%
	"2014"	"2014"	"Rensselaer County, NY"	"36083"	1515	159774	948.214	900.466	995.962	789.206	748.662	829.750	0.164%
	"2014"	"2014"	"Richmond County, NY"	"36085"	3587	473279	757.904	733.101	782.707	664.820	642.716	686.923	0.389%
	"2014"	"2014"	"Rockland County, NY"	"36087"	1996	323866	616.304	589.266	643.342	518.542	495.486	541.597	0.217%
	"2014"	"2014"	"St. Lawrence County, NY"	"36089"	930	111400	834.829	781.174	888.485	709.734	663.454	756.015	0.101%
	"2014"	"2014"	"Saratoga County, NY"	"36091"	1654	224921	735.369	699.929	770.809	607.363	577.526	637.200	0.180%
	"2014"	"2014"	"Schenectady County, NY"	"36093"	1531	155735	983.080	933.836	1032.325	741.783	703.265	780.300	0.166%
	"2014"	"2014"	"Schoharie County, NY"	"36095"	285	31566	902.870	798.047	1007.694	663.352	584.389	742.314	0.031%
	"2014"	"2014"	"Schuyler County, NY"	"36097"	178	18479	963.256	821.745	1104.766	680.474	578.420	782.528	0.019%
	"2014"	"2014"	"Seneca County, NY"	"36099"	360	34884	1031.992	925.386	1138.598	759.180	678.792	839.569	0.039%
	"2014"	"2014"	"Steuben County, NY"	"36101"	1045	98394	1062.057	997.663	1126.451	802.519	752.716	852.323	0.113%
	"2014"	"2014"	"Suffolk County, NY"	"36103"	11753	1502968	781.986	767.848	796.124	646.146	634.270	658.022	1.276%
	"2014"	"2014"	"Sullivan County, NY"	"36105"	719	75943	946.763	877.558	1015.967	790.868	731.649	850.086	0.078%
	"2014"	"2014"	"Tioga County, NY"	"36107"	477	49870	956.487	870.650	1042.324	716.632	650.592	782.672	0.052%
	"2014"	"2014"	"Tompkins County, NY"	"36109"	673	104691	642.844	594.276	691.413	654.153	603.359	704.946	0.073%
	"2014"	"2014"	"Ulster County, NY"	"36111"	1625	180445	900.551	856.765	944.338	670.310	636.767	703.853	0.176%
	"2014"	"2014"	"Warren County, NY"	"36113"	696	64973	1071.214	991.630	1150.799	702.338	648.772	755.905	0.076%
	"2014"	"2014"	"Washington County, NY"	"36115"	645	62372	1034.118	954.310	1113.926	791.764	729.554	853.975	0.070%
	"2014"	"2014"	"Wayne County, NY"	"36117"	815	92051	885.379	824.592	946.165	712.951	662.957	762.945	0.088%
	"2014"	"2014"	"Westchester County, NY"	"36119"	7132	972634	733.267	716.248	750.285	546.493	533.452	559.535	0.774%
	"2014"	"2014"	"Wyoming County, NY"	"36121"	364	41188	883.753	792.963	974.542	772.041	691.283	852.799	0.040%
	"2014"	"2014"	"Yates County, NY"	"36123"	259	25208	1027.452	902.320	1152.583	759.240	663.827	854.652	0.028%
"Total"	"2014"	"2014"			149944	19746227	759.355	755.512	763.199	636.456	633.182	639.730	16.274%
	"2015"	"2015"	"Albany County, NY"	"36001"	2728	309381	881.761	848.672	914.850	693.356	666.502	720.210	0.296%
	"2015"	"2015"	"Allegany County, NY"	"36003"	498	47462	1049.260	957.104	1141.417	803.543	731.538	875.549	0.054%
	"2015"	"2015"	"Bronx County, NY"	"36005"	9401	1455444	645.920	632.863	658.977	678.545	664.663	692.426	1.020%
	"2015"	"2015"	"Broome County, NY"	"36007"	2151	196567	1094.283	1048.038	1140.528	765.238	731.446	799.030	0.233%
	"2015"	"2015"	"Cattaraugus County, NY"	"36009"	882	77922	1131.901	1057.199	1206.603	852.723	794.911	910.535	0.096%
	"2015"	"2015"	"Cayuga County, NY"	"36011"	806	78288	1029.532	958.455	1100.609	752.408	698.666	806.151	0.087%
	"2015"	"2015"	"Chautauqua County, NY"	"36013"	1491	130779	1140.091	1082.221	1197.962	802.394	760.073	844.716	0.162%
	"2015"	"2015"	"Chemung County, NY"	"36015"	1027	87071	1179.497	1107.359	1251.636	854.088	800.413	907.763	0.111%
	"2015"	"2015"	"Chenango County, NY"	"36017"	627	48844	1283.679	1183.199	1384.158	871.129	800.687	941.571	0.068%
	"2015"	"2015"	"Clinton County, NY"	"36019"	693	81251	852.913	789.410	916.416	724.274	669.570	778.979	0.075%
	"2015"	"2015"	"Columbia County, NY"	"36021"	709	61509	1152.677	1067.829	1237.525	737.631	681.105	794.157	0.077%
	"2015"	"2015"	"Cortland County, NY"	"36023"	451	48494	930.012	844.179	1015.845	790.684	716.297	865.071	0.049%
	"2015"	"2015"	"Delaware County, NY"	"36025"	516	46053	1120.448	1023.771	1217.125	707.239	642.704	771.775	0.056%
	"2015"	"2015"	"Dutchess County, NY"	"36027"	2356	295754	796.608	764.441	828.775	633.721	607.628	659.813	0.256%
	"2015"	"2015"	"Erie County, NY"	"36029"	9876	922578	1070.479	1049.366	1091.591	795.052	778.867	811.236	1.072%
	"2015"	"2015"	"Essex County, NY"	"36031"	450	38478	1169.499	1061.443	1277.556	722.787	653.603	791.971	0.049%
	"2015"	"2015"	"Franklin County, NY"	"36033"	495	50660	977.102	891.024	1063.181	840.512	765.453	915.572	0.054%
	"2015"	"2015"	"Fulton County, NY"	"36035"	597	53992	1105.719	1017.021	1194.417	775.044	711.156	838.931	0.065%
	"2015"	"2015"	"Genesee County, NY"	"36037"	586	58937	994.282	913.778	1074.786	700.314	641.929	758.699	0.064%
	"2015"	"2015"	"Greene County, NY"	"36039"	549	47625	1152.756	1056.327	1249.185	773.713	707.029	840.397	0.060%
	"2015"	"2015"	"Hamilton County, NY"	"36041"	53	4712	1124.788	842.545	1471.245	626.866	460.596	833.600	0.006%
	"2015"	"2015"	"Herkimer County, NY"	"36043"	754	63100	1194.929	1109.636	1280.221	821.796	760.680	882.912	0.082%
	"2015"	"2015"	"Jefferson County, NY"	"36045"	913	117635	776.130	725.785	826.474	782.032	730.614	833.451	0.099%
	"2015"	"2015"	"Kings County, NY"	"36047"	15814	2636735	599.757	590.409	609.105	594.001	584.626	603.376	1.716%
	"2015"	"2015"	"Lewis County, NY"	"36049"	256	26957	949.661	833.327	1065.994	708.737	619.986	797.488	0.028%
	"2015"	"2015"	"Livingston County, NY"	"36051"	559	64717	863.761	792.156	935.366	680.878	622.975	738.782	0.061%
	"2015"	"2015"	"Madison County, NY"	"36053"	611	71849	850.395	782.964	917.825	702.374	645.224	759.524	0.066%
	"2015"	"2015"	"Monroe County, NY"	"36055"	6670	749600	889.808	868.453	911.162	693.317	676.182	710.451	0.724%
	"2015"	"2015"	"Montgomery County, NY"	"36057"	612	49642	1232.827	1135.152	1330.502	844.899	774.442	915.355	0.066%
	"2015"	"2015"	"Nassau County, NY"	"36059"	10958	1361350	804.936	789.865	820.008	570.701	559.637	581.765	1.189%
	"2015"	"2015"	"New York County, NY"	"36061"	10110	1644518	614.770	602.786	626.754	525.347	514.950	535.743	1.097%
	"2015"	"2015"	"Niagara County, NY"	"36063"	2376	212652	1117.318	1072.391	1162.246	810.279	776.649	843.910	0.258%
	"2015"	"2015"	"Oneida County, NY"	"36065"	2599	232500	1117.849	1074.872	1160.826	776.351	745.338	807.364	0.282%
	"2015"	"2015"	"Onondaga County, NY"	"36067"	4406	468463	940.523	912.751	968.294	730.615	708.422	752.808	0.478%
	"2015"	"2015"	"Ontario County, NY"	"36069"	1062	109561	969.323	911.024	1027.622	695.482	652.405	738.559	0.115%
	"2015"	"2015"	"Orange County, NY"	"36071"	2708	377647	717.072	690.064	744.080	701.512	674.643	728.380	0.294%
	"2015"	"2015"	"Orleans County, NY"	"36073"	402	41582	966.764	872.258	1061.271	767.622	690.702	844.542	0.044%
	"2015"	"2015"	"Oswego County, NY"	"36075"	1058	120146	880.595	827.533	933.658	789.075	740.538	837.611	0.115%
	"2015"	"2015"	"Otsego County, NY"	"36077"	589	60636	971.370	892.922	1049.818	699.877	640.393	759.362	0.064%
	"2015"	"2015"	"Putnam County, NY"	"36079"	762	99042	769.371	714.743	823.998	665.066	616.661	713.471	0.083%
	"2015"	"2015"	"Queens County, NY"	"36081"	14449	2339150	617.703	607.631	627.775	545.198	536.187	554.209	1.568%
	"2015"	"2015"	"Rensselaer County, NY"	"36083"	1483	160266	925.337	878.240	972.433	756.483	717.154	795.812	0.161%
	"2015"	"2015"	"Richmond County, NY"	"36085"	3689	474558	777.355	752.270	802.440	670.024	648.041	692.007	0.400%
	"2015"	"2015"	"Rockland County, NY"	"36087"	2158	326037	661.888	633.962	689.814	543.880	520.554	567.205	0.234%
	"2015"	"2015"	"St. Lawrence County, NY"	"36089"	935	111007	842.289	788.299	896.279	699.365	653.779	744.950	0.101%
	"2015"	"2015"	"Saratoga County, NY"	"36091"	1834	226249	810.611	773.512	847.711	657.454	626.736	688.171	0.199%
	"2015"	"2015"	"Schenectady County, NY"	"36093"	1545	154604	999.327	949.496	1049.158	745.770	707.124	784.417	0.168%
	"2015"	"2015"	"Schoharie County, NY"	"36095"	300	31330	957.549	849.192	1065.906	722.219	637.737	806.701	0.033%
	"2015"	"2015"	"Schuyler County, NY"	"36097"	182	18186	1000.770	855.373	1146.167	714.451	607.443	821.460	0.020%
	"2015"	"2015"	"Seneca County, NY"	"36099"	372	34833	1067.953	959.426	1176.480	783.262	701.192	865.331	0.040%
	"2015"	"2015"	"Steuben County, NY"	"36101"	992	97631	1016.071	952.841	1079.301	734.136	687.415	780.858	0.108%
	"2015"	"2015"	"Suffolk County, NY"	"36103"	11982	1501587	797.956	783.668	812.244	646.937	635.128	658.746	1.300%
	"2015"	"2015"	"Sullivan County, NY"	"36105"	686	74877	916.169	847.609	984.729	730.384	674.265	786.504	0.074%
	"2015"	"2015"	"Tioga County, NY"	"36107"	470	49453	950.397	864.474	1036.321	707.019	641.006	773.033	0.051%
	"2015"	"2015"	"Tompkins County, NY"	"36109"	684	104926	651.888	603.034	700.742	647.386	597.483	697.288	0.074%
	"2015"	"2015"	"Ulster County, NY"	"36111"	1744	180143	968.120	922.683	1013.557	704.423	670.259	738.587	0.189%
	"2015"	"2015"	"Warren County, NY"	"36113"	733	64688	1133.131	1051.099	1215.164	756.270	699.566	812.974	0.080%
	"2015"	"2015"	"Washington County, NY"	"36115"	592	62230	951.310	874.676	1027.943	704.773	646.909	762.636	0.064%
	"2015"	"2015"	"Wayne County, NY"	"36117"	886	91446	968.878	905.080	1032.676	767.868	716.056	819.680	0.096%
	"2015"	"2015"	"Westchester County, NY"	"36119"	7108	976396	727.983	711.059	744.907	539.865	526.957	552.772	0.771%
	"2015"	"2015"	"Wyoming County, NY"	"36121"	389	41013	948.480	854.224	1042.736	801.450	720.337	882.563	0.042%
	"2015"	"2015"	"Yates County, NY"	"36123"	254	25048	1014.053	889.343	1138.763	737.049	643.336	830.762	0.028%
"Total"	"2015"	"2015"			153628	19795791	776.064	772.183	779.945	644.019	640.742	647.296	16.674%
	"2016"	"2016"	"Albany County, NY"	"36001"	2706	308846	876.165	843.152	909.177	686.339	659.637	713.040	0.294%
	"2016"	"2016"	"Allegany County, NY"	"36003"	467	47077	991.992	902.020	1081.964	764.734	693.458	836.009	0.051%
	"2016"	"2016"	"Bronx County, NY"	"36005"	9670	1455720	664.276	651.036	677.516	688.639	674.746	702.532	1.050%
	"2016"	"2016"	"Broome County, NY"	"36007"	2051	195334	1049.996	1004.554	1095.439	744.551	710.563	778.539	0.223%
	"2016"	"2016"	"Cattaraugus County, NY"	"36009"	792	77677	1019.607	948.596	1090.618	769.191	714.217	824.165	0.086%
	"2016"	"2016"	"Cayuga County, NY"	"36011"	764	77861	981.236	911.656	1050.816	702.377	650.962	753.792	0.083%
	"2016"	"2016"	"Chautauqua County, NY"	"36013"	1566	129504	1209.229	1149.337	1269.121	847.127	803.434	890.821	0.170%
	"2016"	"2016"	"Chemung County, NY"	"36015"	942	86322	1091.263	1021.575	1160.951	788.830	736.924	840.736	0.102%
	"2016"	"2016"	"Chenango County, NY"	"36017"	599	48579	1233.043	1134.297	1331.789	852.541	782.116	922.966	0.065%
	"2016"	"2016"	"Clinton County, NY"	"36019"	710	81073	875.754	811.336	940.172	724.314	670.077	778.550	0.077%
	"2016"	"2016"	"Columbia County, NY"	"36021"	668	60989	1095.279	1012.219	1178.340	691.995	636.772	747.219	0.072%
	"2016"	"2016"	"Cortland County, NY"	"36023"	457	48070	950.697	863.532	1037.861	788.443	714.562	862.324	0.050%
	"2016"	"2016"	"Delaware County, NY"	"36025"	552	45523	1212.574	1111.417	1313.731	749.615	684.208	815.021	0.060%
	"2016"	"2016"	"Dutchess County, NY"	"36027"	2520	294473	855.766	822.353	889.179	664.049	637.572	690.525	0.273%
	"2016"	"2016"	"Erie County, NY"	"36029"	9804	921046	1064.442	1043.371	1085.513	786.807	770.718	802.896	1.064%
	"2016"	"2016"	"Essex County, NY"	"36031"	416	38102	1091.806	986.887	1196.725	657.296	591.525	723.067	0.045%
	"2016"	"2016"	"Franklin County, NY"	"36033"	455	50409	902.617	819.679	985.555	761.148	690.220	832.076	0.049%
	"2016"	"2016"	"Fulton County, NY"	"36035"	615	53828	1142.528	1052.229	1232.828	805.607	739.797	871.416	0.067%
	"2016"	"2016"	"Genesee County, NY"	"36037"	609	58482	1041.346	958.639	1124.053	743.882	682.647	805.117	0.066%
	"2016"	"2016"	"Greene County, NY"	"36039"	481	47508	1012.461	921.979	1102.943	695.943	631.162	760.724	0.052%
	"2016"	"2016"	"Hamilton County, NY"	"36041"	48	4542	1056.803	779.202	1401.162	563.578	411.079	754.112	0.005%
	"2016"	"2016"	"Herkimer County, NY"	"36043"	668	62613	1066.871	985.965	1147.777	731.983	674.007	789.959	0.072%
	"2016"	"2016"	"Jefferson County, NY"	"36045"	855	114006	749.961	699.690	800.231	736.624	686.506	786.742	0.093%
	"2016"	"2016"	"Kings County, NY"	"36047"	15940	2629150	606.280	596.868	615.692	590.572	581.283	599.861	1.730%
	"2016"	"2016"	"Lewis County, NY"	"36049"	249	26865	926.857	811.732	1041.981	690.227	601.988	778.467	0.027%
	"2016"	"2016"	"Livingston County, NY"	"36051"	540	64257	840.375	769.494	911.257	667.675	609.425	725.924	0.059%
	"2016"	"2016"	"Madison County, NY"	"36053"	625	71329	876.221	807.526	944.917	695.612	639.641	751.582	0.068%
	"2016"	"2016"	"Monroe County, NY"	"36055"	6617	747727	884.949	863.626	906.271	678.650	661.783	695.517	0.718%
	"2016"	"2016"	"Montgomery County, NY"	"36057"	580	49276	1177.044	1081.250	1272.837	804.103	735.080	873.127	0.063%
