Notes,County,County Code,ICD Chapter,ICD Chapter Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in multiple infections,B20.7,13,6069444,Unreliable,0.11405,0.36627,0.0000043
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in other infectious and parasitic diseases,B20.8,19,6069444,Unreliable,0.18847,0.48885,0.0000062
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in multiple diseases classified elsewhere,B22.7,22,6069444,0.36247,0.22716,0.54879,0.0000072
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,HIV disease resulting in other specified conditions,B23.8,58,6069444,0.95561,0.72563,1.23534,0.000019
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,Unspecified human immunodeficiency virus [HIV] disease,B24,20,6069444,0.32952,0.20128,0.50892,0.0000065
,"Albany County, NY",36001,Certain infectious and parasitic diseases,A00-B99,Unspecified mycosis,B49,11,6069444,Unreliable,0.09047,0.32428,0.0000036
,"Albany County, NY",36001,Neoplasms,C00-D48,"Tongue, unspecified - Malignant neoplasms",C02.9,30,6069444,0.49428,0.33349,0.70561,0.0000098
,"Albany County, NY",36001,Neoplasms,C00-D48,"Mouth, unspecified - Malignant neoplasms",C06.9,18,6069444,Unreliable,0.17576,0.4687,0.0000059
,"Albany County, NY",36001,Neoplasms,C00-D48,"Tonsil, unspecified - Malignant neoplasms",C09.9,27,6069444,0.44485,0.29316,0.64724,0.0000088
,"Albany County, NY",36001,Neoplasms,C00-D48,"Oropharynx, unspecified - Malignant neoplasms",C10.9,24,6069444,0.39542,0.25336,0.58836,0.0000079
,"Albany County, NY",36001,Neoplasms,C00-D48,"Nasopharynx, unspecified - Malignant neoplasms",C11.9,15,6069444,Unreliable,0.13832,0.40762,0.0000049
,"Albany County, NY",36001,Neoplasms,C00-D48,"Pharynx, unspecified - Malignant neoplasms",C14.0,23,6069444,0.37895,0.24022,0.56861,0.0000075
,"Albany County, NY",36001,Neoplasms,C00-D48,"Oesophagus, unspecified - Malignant neoplasms",C15.9,323,6069444,5.32174,4.74136,5.90211,0.0001058
,"Albany County, NY",36001,Neoplasms,C00-D48,Cardia - Malignant neoplasms,C16.0,23,6069444,0.37895,0.24022,0.56861,0.0000075
,"Albany County, NY",36001,Neoplasms,C00-D48,"Stomach, unspecified - Malignant neoplasms",C16.9,212,6069444,3.49291,3.02271,3.9631,0.0000694
,"Albany County, NY",36001,Neoplasms,C00-D48,Duodenum - Malignant neoplasms,C17.0,22,6069444,0.36247,0.22716,0.54879,0.0000072
,"Albany County, NY",36001,Neoplasms,C00-D48,"Small intestine, unspecified - Malignant neoplasms",C17.9,12,6069444,Unreliable,0.10216,0.34536,0.0000039
,"Albany County, NY",36001,Neoplasms,C00-D48,Caecum - Malignant neoplasms,C18.0,14,6069444,Unreliable,0.12611,0.38701,0.0000046
,"Albany County, NY",36001,Neoplasms,C00-D48,Appendix - Malignant neoplasms,C18.1,13,6069444,Unreliable,0.11405,0.36627,0.0000043
,"Albany County, NY",36001,Neoplasms,C00-D48,Sigmoid colon - Malignant neoplasms,C18.7,12,6069444,Unreliable,0.10216,0.34536,0.0000039
,"Albany County, NY",36001,Neoplasms,C00-D48,"Colon, unspecified - Malignant neoplasms",C18.9,847,6069444,13.95515,13.01532,14.89498,0.0002773
,"Albany County, NY",36001,Neoplasms,C00-D48,Malignant neoplasm of rectosigmoid junction,C19,68,6069444,1.12037,0.87001,1.42033,0.0000223
,"Albany County, NY",36001,Neoplasms,C00-D48,Malignant neoplasm of rectum,C20,169,6069444,2.78444,2.36463,3.20425,0.0000553
,"Albany County, NY",36001,Neoplasms,C00-D48,"Anus, unspecified - Malignant neoplasms",C21.0,15,6069444,Unreliable,0.13832,0.40762,0.0000049
,"Albany County, NY",36001,Neoplasms,C00-D48,Liver cell carcinoma - Malignant neoplasms,C22.0,231,6069444,3.80595,3.31514,4.29676,0.0000756
,"Albany County, NY",36001,Neoplasms,C00-D48,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,101,6069444,1.66407,1.33953,1.98861,0.0000331
,"Albany County, NY",36001,Neoplasms,C00-D48,"Liver, unspecified - Malignant neoplasms",C22.9,87,6069444,1.43341,1.1481,1.76811,0.0000285
,"Albany County, NY",36001,Neoplasms,C00-D48,Malignant neoplasm of gallbladder,C23,43,6069444,0.70847,0.51272,0.9543,0.0000141
,"Albany County, NY",36001,Neoplasms,C00-D48,Extrahepatic bile duct - Malignant neoplasms,C24.0,23,6069444,0.37895,0.24022,0.56861,0.0000075
,"Albany County, NY",36001,Neoplasms,C00-D48,"Biliary tract, unspecified - Malignant neoplasms",C24.9,15,6069444,Unreliable,0.13832,0.40762,0.0000049
,"Albany County, NY",36001,Neoplasms,C00-D48,"Pancreas, unspecified - Malignant neoplasms",C25.9,780,6069444,12.85126,11.94937,13.75315,0.0002554
,"Albany County, NY",36001,Neoplasms,C00-D48,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,30,6069444,0.49428,0.33349,0.70561,0.0000098
,"Albany County, NY",36001,Neoplasms,C00-D48,"Larynx, unspecified - Malignant neoplasms",C32.9,83,6069444,1.36751,1.0892,1.69523,0.0000272
,"Albany County, NY",36001,Neoplasms,C00-D48,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,16,6069444,Unreliable,0.15068,0.4281,0.0000052
,"Albany County, NY",36001,Neoplasms,C00-D48,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,3562,6069444,58.68742,56.7601,60.61474,0.0011663
,"Albany County, NY",36001,Neoplasms,C00-D48,Malignant neoplasm of thymus,C37,11,6069444,Unreliable,0.09047,0.32428,0.0000036
,"Albany County, NY",36001,Neoplasms,C00-D48,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,18,6069444,Unreliable,0.17576,0.4687,0.0000059
,"Albany County, NY",36001,Neoplasms,C00-D48,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,189,6069444,3.11396,2.67,3.55791,0.0000619
,"Albany County, NY",36001,Neoplasms,C00-D48,Skin of scalp and neck - Malignant neoplasms,C44.4,25,6069444,0.4119,0.26656,0.60805,0.0000082
,"Albany County, NY",36001,Neoplasms,C00-D48,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,36,6069444,0.59314,0.41543,0.82115,0.0000118
,"Albany County, NY",36001,Neoplasms,C00-D48,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,46,6069444,0.75789,0.55488,1.01093,0.0000151
,"Albany County, NY",36001,Neoplasms,C00-D48,"Peritoneum, unspecified - Malignant neoplasms",C48.2,14,6069444,Unreliable,0.12611,0.38701,0.0000046
,"Albany County, NY",36001,Neoplasms,C00-D48,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,83,6069444,1.36751,1.0892,1.69523,0.0000272
,"Albany County, NY",36001,Neoplasms,C00-D48,"Breast, unspecified - Malignant neoplasms",C50.9,921,6069444,15.17437,14.19435,16.1544,0.0003016
,"Albany County, NY",36001,Neoplasms,C00-D48,"Vulva, unspecified - Malignant neoplasms",C51.9,27,6069444,0.44485,0.29316,0.64724,0.0000088
,"Albany County, NY",36001,Neoplasms,C00-D48,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,60,6069444,0.98856,0.75438,1.27247,0.0000196
,"Albany County, NY",36001,Neoplasms,C00-D48,Endometrium - Malignant neoplasms,C54.1,112,6069444,1.84531,1.50355,2.18707,0.0000367
,"Albany County, NY",36001,Neoplasms,C00-D48,"Malignant neoplasm of uterus, part unspecified",C55,70,6069444,1.15332,0.89907,1.45715,0.0000229
,"Albany County, NY",36001,Neoplasms,C00-D48,Malignant neoplasm of ovary,C56,310,6069444,5.10755,4.53898,5.67613,0.0001015
,"Albany County, NY",36001,Neoplasms,C00-D48,Fallopian tube - Malignant neoplasms,C57.0,12,6069444,Unreliable,0.10216,0.34536,0.0000039
,"Albany County, NY",36001,Neoplasms,C00-D48,Malignant neoplasm of prostate,C61,603,6069444,9.93501,9.14203,10.728,0.0001974
,"Albany County, NY",36001,Neoplasms,C00-D48,"Malignant neoplasm of kidney, except renal pelvis",C64,271,6069444,4.46499,3.93338,4.9966,0.0000887
,"Albany County, NY",36001,Neoplasms,C00-D48,Malignant neoplasm of ureter,C66,17,6069444,Unreliable,0.16316,0.44845,0.0000056
,"Albany County, NY",36001,Neoplasms,C00-D48,"Bladder, unspecified - Malignant neoplasms",C67.9,310,6069444,5.10755,4.53898,5.67613,0.0001015
,"Albany County, NY",36001,Neoplasms,C00-D48,"Brain, unspecified - Malignant neoplasms",C71.9,293,6069444,4.82746,4.27469,5.38023,0.0000959
,"Albany County, NY",36001,Neoplasms,C00-D48,Malignant neoplasm of thyroid gland,C73,36,6069444,0.59314,0.41543,0.82115,0.0000118
,"Albany County, NY",36001,Neoplasms,C00-D48,"Head, face and neck - Malignant neoplasms",C76.0,16,6069444,Unreliable,0.15068,0.4281,0.0000052
,"Albany County, NY",36001,Neoplasms,C00-D48,Secondary malignant neoplasm of pleura - Malignant neoplasms,C78.2,10,6069444,Unreliable,0.07901,0.303,0.0000033
,"Albany County, NY",36001,Neoplasms,C00-D48,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,46,6069444,0.75789,0.55488,1.01093,0.0000151
,"Albany County, NY",36001,Neoplasms,C00-D48,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,73,6069444,1.20275,0.94276,1.51227,0.0000239
,"Albany County, NY",36001,Neoplasms,C00-D48,Malignant neoplasm without specification of site,C80,709,6069444,11.68147,10.8216,12.54133,0.0002321
,"Albany County, NY",36001,Neoplasms,C00-D48,"Hodgkin disease, unspecified",C81.9,23,6069444,0.37895,0.24022,0.56861,0.0000075
,"Albany County, NY",36001,Neoplasms,C00-D48,Non-Hodgkin lymphoma small cleaved cell (diffuse),C83.1,11,6069444,Unreliable,0.09047,0.32428,0.0000036
,"Albany County, NY",36001,Neoplasms,C00-D48,Non-Hodgkin lymphoma large cell (diffuse),C83.3,49,6069444,0.80732,0.59727,1.06732,0.000016
,"Albany County, NY",36001,Neoplasms,C00-D48,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,19,6069444,Unreliable,0.18847,0.48885,0.0000062
,"Albany County, NY",36001,Neoplasms,C00-D48,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,41,6069444,0.67551,0.48476,0.91641,0.0000134
,"Albany County, NY",36001,Neoplasms,C00-D48,"Non-Hodgkin lymphoma, unspecified type",C85.9,326,6069444,5.37117,4.7881,5.95423,0.0001067
,"Albany County, NY",36001,Neoplasms,C00-D48,Multiple myeloma - Malignant neoplasms,C90.0,215,6069444,3.54233,3.06883,4.01584,0.0000704
,"Albany County, NY",36001,Neoplasms,C00-D48,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,28,6069444,0.46133,0.30655,0.66675,0.0000092
,"Albany County, NY",36001,Neoplasms,C00-D48,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,110,6069444,1.81236,1.47367,2.15105,0.000036
,"Albany County, NY",36001,Neoplasms,C00-D48,Acute myeloid leukaemia - Malignant neoplasms,C92.0,203,6069444,3.34462,2.88452,3.80473,0.0000665
,"Albany County, NY",36001,Neoplasms,C00-D48,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,17,6069444,Unreliable,0.16316,0.44845,0.0000056
,"Albany County, NY",36001,Neoplasms,C00-D48,Other myeloid leukaemia - Malignant neoplasms,C92.7,10,6069444,Unreliable,0.07901,0.303,0.0000033
,"Albany County, NY",36001,Neoplasms,C00-D48,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,50,6069444,0.8238,0.61144,1.08608,0.0000164
,"Albany County, NY",36001,Neoplasms,C00-D48,"Leukaemia, unspecified - Malignant neoplasms",C95.9,38,6069444,0.62609,0.44306,0.85935,0.0000124
,"Albany County, NY",36001,Neoplasms,C00-D48,Malignant neoplasms of independent (primary) multiple sites,C97,93,6069444,1.53227,1.23674,1.87713,0.0000305
,"Albany County, NY",36001,Neoplasms,C00-D48,"Meninges, unspecified - Benign neoplasms",D32.9,12,6069444,Unreliable,0.10216,0.34536,0.0000039
,"Albany County, NY",36001,Neoplasms,C00-D48,"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,18,6069444,Unreliable,0.17576,0.4687,0.0000059
,"Albany County, NY",36001,Neoplasms,C00-D48,"Brain, unspecified - Uncertain neoplasms",D43.2,48,6069444,0.79085,0.58311,1.04854,0.0000157
,"Albany County, NY",36001,Neoplasms,C00-D48,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,115,6069444,1.89474,1.54843,2.24104,0.0000377
,"Albany County, NY",36001,Neoplasms,C00-D48,Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,20,6069444,0.32952,0.20128,0.50892,0.0000065
,"Albany County, NY",36001,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Aplastic anaemia, unspecified",D61.9,18,6069444,Unreliable,0.17576,0.4687,0.0000059
,"Albany County, NY",36001,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Anaemia, unspecified",D64.9,52,6069444,0.85675,0.63986,1.12352,0.000017
,"Albany County, NY",36001,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,Disseminated intravascular coagulation [defibrination syndrome],D65,12,6069444,Unreliable,0.10216,0.34536,0.0000039
,"Albany County, NY",36001,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Coagulation defect, unspecified",D68.9,31,6069444,0.51076,0.34703,0.72498,0.0000102
,"Albany County, NY",36001,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Thrombocytopenia, unspecified",D69.6,13,6069444,Unreliable,0.11405,0.36627,0.0000043
,"Albany County, NY",36001,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Sarcoidosis, unspecified",D86.9,27,6069444,0.44485,0.29316,0.64724,0.0000088
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Hypothyroidism, unspecified",E03.9,26,6069444,0.42838,0.27983,0.62767,0.0000085
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Insulin-dependent diabetes mellitus, with renal complications",E10.2,12,6069444,Unreliable,0.10216,0.34536,0.0000039
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Insulin-dependent diabetes mellitus, without complications",E10.9,41,6069444,0.67551,0.48476,0.91641,0.0000134
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,28,6069444,0.46133,0.30655,0.66675,0.0000092
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,14,6069444,Unreliable,0.12611,0.38701,0.0000046
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,113,6069444,1.86179,1.51851,2.20506,0.000037
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,22,6069444,0.36247,0.22716,0.54879,0.0000072
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, with renal complications",E14.2,94,6069444,1.54874,1.25154,1.89527,0.0000308
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,74,6069444,1.21922,0.95736,1.53062,0.0000242
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, with multiple complications",E14.7,19,6069444,Unreliable,0.18847,0.48885,0.0000062
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, without complications",E14.9,644,6069444,10.61053,9.79102,11.43003,0.0002109
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Hypoglycaemia, unspecified",E16.2,10,6069444,Unreliable,0.07901,0.303,0.0000033
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,Unspecified severe protein-energy malnutrition,E43,14,6069444,Unreliable,0.12611,0.38701,0.0000046
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,Unspecified protein-energy malnutrition,E46,34,6069444,0.56018,0.38794,0.7828,0.0000111
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,Other obesity,E66.8,51,6069444,0.84027,0.62564,1.10481,0.0000167
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Obesity, unspecified",E66.9,35,6069444,0.57666,0.40167,0.80199,0.0000115
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,Pure hypercholesterolaemia,E78.0,16,6069444,Unreliable,0.15068,0.4281,0.0000052
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Hyperlipidaemia, unspecified",E78.5,90,6069444,1.48284,1.19238,1.82266,0.0000295
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,Organ-limited amyloidosis,E85.4,17,6069444,Unreliable,0.16316,0.44845,0.0000056
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,Volume depletion,E86,134,6069444,2.20778,1.83396,2.5816,0.0000439
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,Hyperosmolality and hypernatraemia,E87.0,28,6069444,0.46133,0.30655,0.66675,0.0000092
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,Hypo-osmolality and hyponatraemia,E87.1,16,6069444,Unreliable,0.15068,0.4281,0.0000052
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,Acidosis,E87.2,51,6069444,0.84027,0.62564,1.10481,0.0000167
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,Hyperkalaemia,E87.5,15,6069444,Unreliable,0.13832,0.40762,0.0000049
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,13,6069444,Unreliable,0.11405,0.36627,0.0000043
,"Albany County, NY",36001,"Endocrine, nutritional and metabolic diseases",E00-E88,"Metabolic disorder, unspecified",E88.9,38,6069444,0.62609,0.44306,0.85935,0.0000124
,"Albany County, NY",36001,Mental and behavioural disorders,F01-F99,Multi-infarct dementia,F01.1,14,6069444,Unreliable,0.12611,0.38701,0.0000046
,"Albany County, NY",36001,Mental and behavioural disorders,F01-F99,"Vascular dementia, unspecified",F01.9,78,6069444,1.28513,1.01584,1.6039,0.0000255
,"Albany County, NY",36001,Mental and behavioural disorders,F01-F99,Unspecified dementia,F03,1901,6069444,31.32083,29.91284,32.72881,0.0006224
,"Albany County, NY",36001,Mental and behavioural disorders,F01-F99,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,16,6069444,Unreliable,0.15068,0.4281,0.0000052
,"Albany County, NY",36001,Mental and behavioural disorders,F01-F99,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,18,6069444,Unreliable,0.17576,0.4687,0.0000059
,"Albany County, NY",36001,Mental and behavioural disorders,F01-F99,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",F17.9,11,6069444,Unreliable,0.09047,0.32428,0.0000036
,"Albany County, NY",36001,Mental and behavioural disorders,F01-F99,"Depressive episode, unspecified",F32.9,20,6069444,0.32952,0.20128,0.50892,0.0000065
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,Huntington disease,G10,13,6069444,Unreliable,0.11405,0.36627,0.0000043
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,Motor neuron disease,G12.2,140,6069444,2.30664,1.92454,2.68873,0.0000458
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,Parkinson disease,G20,448,6069444,7.38124,6.69772,8.06475,0.0001467
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,Alzheimer disease with late onset,G30.1,31,6069444,0.51076,0.34703,0.72498,0.0000102
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,"Alzheimer disease, unspecified",G30.9,1596,6069444,26.29565,25.00555,27.58575,0.0005226
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,Other specified degenerative diseases of nervous system,G31.8,46,6069444,0.75789,0.55488,1.01093,0.0000151
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,"Degenerative disease of nervous system, unspecified",G31.9,18,6069444,Unreliable,0.17576,0.4687,0.0000059
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,Multiple sclerosis,G35,72,6069444,1.18627,0.92819,1.49391,0.0000236
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,"Epilepsy, unspecified",G40.9,15,6069444,Unreliable,0.13832,0.40762,0.0000049
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,"Status epilepticus, unspecified",G41.9,22,6069444,0.36247,0.22716,0.54879,0.0000072
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,Sleep apnoea,G47.3,15,6069444,Unreliable,0.13832,0.40762,0.0000049
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,Myasthenia gravis,G70.0,20,6069444,0.32952,0.20128,0.50892,0.0000065
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,Muscular dystrophy,G71.0,16,6069444,Unreliable,0.15068,0.4281,0.0000052
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,"Infantile cerebral palsy, unspecified",G80.9,17,6069444,Unreliable,0.16316,0.44845,0.0000056
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,"Anoxic brain damage, not elsewhere classified",G93.1,175,6069444,2.8833,2.4561,3.31049,0.0000573
,"Albany County, NY",36001,Diseases of the nervous system,G00-G98,"Encephalopathy, unspecified",G93.4,33,6069444,0.54371,0.37426,0.76357,0.0000108
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Mitral stenosis,I05.0,18,6069444,Unreliable,0.17576,0.4687,0.0000059
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,"Mitral valve disease, unspecified",I05.9,32,6069444,0.52723,0.36063,0.74429,0.0000105
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Disorders of both mitral and aortic valves,I08.0,12,6069444,Unreliable,0.10216,0.34536,0.0000039
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,"Rheumatic heart disease, unspecified",I09.9,15,6069444,Unreliable,0.13832,0.40762,0.0000049
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Essential (primary) hypertension,I10,411,6069444,6.77163,6.11695,7.4263,0.0001346
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Hypertensive heart disease with (congestive) heart failure,I11.0,267,6069444,4.39908,3.87141,4.92676,0.0000874
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Hypertensive heart disease without (congestive) heart failure,I11.9,168,6069444,2.76796,2.3494,3.18653,0.000055
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Hypertensive renal disease with renal failure,I12.0,155,6069444,2.55378,2.15173,2.95582,0.0000508
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Hypertensive heart and renal disease with renal failure,I13.1,24,6069444,0.39542,0.25336,0.58836,0.0000079
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,42,6069444,0.69199,0.49872,0.93537,0.0000138
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Acute subendocardial myocardial infarction,I21.4,29,6069444,0.4778,0.31999,0.68621,0.0000095
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,"Acute myocardial infarction, unspecified",I21.9,2146,6069444,35.35744,33.86147,36.85341,0.0007027
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Other forms of acute ischaemic heart disease,I24.8,12,6069444,Unreliable,0.10216,0.34536,0.0000039
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,"Acute ischaemic heart disease, unspecified",I24.9,16,6069444,Unreliable,0.15068,0.4281,0.0000052
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,"Atherosclerotic cardiovascular disease, so described",I25.0,547,6069444,9.01236,8.25709,9.76763,0.0001791
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Atherosclerotic heart disease,I25.1,7023,6069444,115.71076,113.00451,118.41702,0.0022995
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Ischaemic cardiomyopathy,I25.5,247,6069444,4.06957,3.56204,4.57709,0.0000809
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,Other forms of chronic ischaemic heart disease,I25.8,28,6069444,0.46133,0.30655,0.66675,0.0000092
,"Albany County, NY",36001,Diseases of the circulatory system,I00-I99,"Chronic ischaemic heart disease, unspecified",I25.9,737,6069444,12.14279,11.26611,13.01947,0.0002413
